hidden_size,num_hidden_layers,lr,batch_norm,activation,loss function,dropout,validation_loss,validation_accuracy,test_loss,test_accuracy,percison,recall,f1_score,batch_size
64,1,0.01,True,relu,CrossEntropyLoss,0.1,0.013732114176460909,0.8115851272015655,0.013414850505742502,0.8211534848769491,0.770324347093513,0.9155193992490613,0.8366693354683747,32
64,1,0.01,True,relu,CrossEntropyLoss,0.1,0.006251556045155236,0.8277886497064579,0.006106080255837482,0.8373097877136952,0.8127610208816706,0.876846057571965,0.8435881998795906,64
64,1,0.01,False,relu,CrossEntropyLoss,0.1,0.01279747800117836,0.8220743639921723,0.012422904400209187,0.8311728974888847,0.8053760959852331,0.8737171464330413,0.8381558410373394,32
64,1,0.01,False,relu,CrossEntropyLoss,0.1,0.006445111960114332,0.8191780821917808,0.006230580361815548,0.8309850335024109,0.7949604192217639,0.8923654568210263,0.8408514652986615,64
64,1,0.01,True,sigmoid,CrossEntropyLoss,0.1,0.012762790822702845,0.8200391389432485,0.012475077516113377,0.8283549376917778,0.8088737201365188,0.8602002503128912,0.8337478012979924,32
64,1,0.01,True,sigmoid,CrossEntropyLoss,0.1,0.006442176227233648,0.8161252446183953,0.006262391340949807,0.8276034817458826,0.7961769030652641,0.8809762202753442,0.8364327728596044,64
64,1,0.01,False,sigmoid,CrossEntropyLoss,0.1,0.012767793930440034,0.8209001956947163,0.012370158725218868,0.8282296950341286,0.8128801431127013,0.8530663329161452,0.8324885496183206,32
64,1,0.01,False,sigmoid,CrossEntropyLoss,0.1,0.0063100621809931414,0.8234050880626224,0.00609887660956874,0.8333020226689211,0.8228308288899661,0.8498122653316645,0.8361039280876739,64
64,1,0.1,True,relu,CrossEntropyLoss,0.1,0.016797205167740525,0.7343248532289628,0.016683718494380884,0.7411860479679379,0.6712243629583592,0.9461827284105131,0.785332156027632,32
64,1,0.1,True,relu,CrossEntropyLoss,0.1,0.007179127255064634,0.7985127201565557,0.007116087584916871,0.807940384494959,0.7930008332341388,0.8337922403003755,0.8128851198828627,64
64,1,0.1,False,relu,CrossEntropyLoss,0.1,0.021867666547779,0.49142857142857144,0.021811840619162408,0.5003444173085353,0.5003444173085353,1.0,0.6669727451062231,32
64,1,0.1,False,relu,CrossEntropyLoss,0.1,0.009718947149302862,0.6813307240704501,0.009708192645738281,0.6758720020038825,0.900398406374502,0.3959949937421777,0.5500695410292072,64
64,1,0.1,True,sigmoid,CrossEntropyLoss,0.1,0.01512317569405132,0.7842661448140901,0.0147733684771271,0.7910326257123176,0.7435360619700617,0.8889862327909888,0.8097816793022857,32
64,1,0.1,True,sigmoid,CrossEntropyLoss,0.1,0.007529527648787676,0.7989823874755382,0.0074045584842164225,0.8053102886843259,0.7935763262360159,0.825657071339174,0.8092989020425688,64
64,1,0.1,False,sigmoid,CrossEntropyLoss,0.1,0.015799178909182317,0.7771428571428571,0.015566384380257446,0.7870248606675434,0.7348756269833145,0.8984981226533166,0.8084914691142518,32
64,1,0.1,False,sigmoid,CrossEntropyLoss,0.1,0.007603813260502078,0.7700978473581214,0.007513813305396802,0.7753146721773436,0.8505893596686843,0.6683354192740926,0.7485281749369217,64
64,2,0.01,True,relu,CrossEntropyLoss,0.1,0.01285151959981937,0.8174559686888454,0.012542930774764417,0.8310476548312355,0.8218978102189781,0.8455569461827284,0.8335595311536089,32
64,2,0.01,True,relu,CrossEntropyLoss,0.1,0.00616435547164275,0.8224657534246576,0.006032961615564171,0.8331767800112718,0.8170238095238095,0.8589486858573216,0.8374618669920684,64
64,2,0.01,False,relu,CrossEntropyLoss,0.1,0.013249086953422562,0.8200391389432485,0.012795404784348263,0.826601540484689,0.796748891667614,0.8772215269086358,0.8350509322690176,32
64,2,0.01,False,relu,CrossEntropyLoss,0.1,0.0062287634856080356,0.8263013698630137,0.00605318647483839,0.8356190118354312,0.8378038030474751,0.832665832290363,0.8352269160755759,64
64,2,0.01,True,sigmoid,CrossEntropyLoss,0.1,0.013148306043647274,0.8115068493150684,0.012914859884271521,0.8221554261381426,0.8270256540513081,0.8150187734668335,0.820978315683308,32
64,2,0.01,True,sigmoid,CrossEntropyLoss,0.1,0.006362876838433999,0.8201956947162427,0.0062040063434809015,0.8311102761600602,0.817821544373724,0.8523153942428036,0.834712263283692,64
64,2,0.01,False,sigmoid,CrossEntropyLoss,0.1,0.012835780120875738,0.8177690802348336,0.012509033724976375,0.8301709562276911,0.8117911153119093,0.8599499374217772,0.835176856691382,32
64,2,0.01,False,sigmoid,CrossEntropyLoss,0.1,0.0064604302138498385,0.8175342465753425,0.006315466955493571,0.8254743565658463,0.8297629610850551,0.8192740926157697,0.8244851690912525,64
64,2,0.1,True,relu,CrossEntropyLoss,0.1,0.01826230623250838,0.5920156555772994,0.018196340594565506,0.5962802930678189,0.5545114110082668,0.9822277847309137,0.7088470396965181,32
64,2,0.1,True,relu,CrossEntropyLoss,0.1,0.00778427648450997,0.7815264187866927,0.007653387515245842,0.7949777694282673,0.7487866638531335,0.888235294117647,0.8125715594229448,64
64,2,0.1,False,relu,CrossEntropyLoss,0.1,0.021710907717740233,0.49142857142857144,0.021703772575766122,0.5003444173085353,0.5003444173085353,1.0,0.6669727451062231,32
64,2,0.1,False,relu,CrossEntropyLoss,0.1,0.011131815747038958,0.49142857142857144,0.011084044201356585,0.5003444173085353,0.5003444173085353,1.0,0.6669727451062231,64
64,2,0.1,True,sigmoid,CrossEntropyLoss,0.1,0.015663143009122336,0.7812915851272015,0.015510009380443654,0.7830797169515937,0.8464482547458665,0.6919899874843555,0.7614653628976725,32
